GEBIET_NAME,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2005,36
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2006,37
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2007,35
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2008,41
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2009,49
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2010,49
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2011,46
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2012,46
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2013,43
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2014,44
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2015,43
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2016,41
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2017,52
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2018,51
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2019,48
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2020,57
Rifferswil,Gemeindebeitrag an ZVV [Fr./Einw.],2021,65
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],1994,62
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],1995,61
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],1996,67
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],1997,63
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],1998,66
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],1999,61
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2000,58
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2001,57
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2002,50
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2003,56
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2004,56
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2005,57
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2006,60
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2007,63
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2008,72
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2009,76
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2010,76
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2011,72
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2012,73
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2013,69
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2014,69
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2015,70
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2016,69
Stallikon,Gemeindebeitrag an ZVV [Fr./Einw.],2017,63
